file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_corpus,-45.819540818846306,-45.87700504726834,3.89793929196005,8.153875263901877
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_corpus,-43.762196180555556,-53.520459982065056,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,mfa_corpus,-45.99866187723868,-46.887955904649594,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,mfa_corpus,-45.44269742582897,-45.74603854318152,3.598790752102163,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_corpus,-43.20103000151332,-52.35156279343825,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_corpus,-44.80281995006443,-50.92483933766683,2.5633459565624697,12.358243745435463
